,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,1559.3684743285548,1409.893489896699,1707.9902985566616
306,2022-08-23,1544.953652377964,1399.4275834338418,1693.622680037846
307,2022-08-24,1520.6441789002588,1358.649654256253,1671.1716235843633
308,2022-08-25,1504.8483691326467,1358.9011620496867,1662.9033275595684
309,2022-08-26,1478.631945379501,1335.523319374149,1635.4083462223957
312,2022-08-29,1434.9316142913574,1289.1067710820532,1599.888371302827
313,2022-08-30,1423.42961492986,1272.1525694541322,1577.3296785793234
314,2022-08-31,1402.6279059170045,1259.005176889762,1565.2964081283028
315,2022-09-01,1390.4745858155977,1238.3415314105453,1536.2624911190794
316,2022-09-02,1368.4069160066979,1213.851492137254,1516.7985666453412
