,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,2984.9915391394284,2754.862811802289,3206.9872568719243
306,2022-08-23,2977.3783615674124,2748.41607396152,3213.2274314916785
307,2022-08-24,2986.8688916513283,2738.3964645589617,3235.383820433468
308,2022-08-25,2957.815272987348,2705.9680999939396,3228.642884218327
309,2022-08-26,2925.1331750821428,2675.1283231430216,3181.537935287772
312,2022-08-29,2963.8220461030323,2650.760626135249,3291.9853240397833
313,2022-08-30,2892.377079599481,2591.1063449278477,3248.3345303703263
314,2022-08-31,2825.911863704523,2501.456828373903,3235.798477398214
315,2022-09-01,2714.9708822293446,2354.9099788497624,3116.2082603091435
316,2022-09-02,2592.8266515150544,2205.262466902601,3084.6786064807193
