,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,0.00029790456219051364,-283.0161935728307,279.53738869476626
306,2022-08-23,0.0004434264038136197,-267.34882580846835,280.8785059491137
307,2022-08-24,0.0005431828339829405,-270.1777275303995,292.5582773884538
308,2022-08-25,-3.1686167462713125e-05,-294.66967015725305,282.3058115317136
309,2022-08-26,6.977776473837578e-05,-276.1730597258296,260.5153243884963
312,2022-08-29,0.00022943137778322665,-313.6423321830273,265.60204059896796
313,2022-08-30,0.00026038901313144534,-309.838956686076,285.2694076059958
314,2022-08-31,0.0002623351408338705,-316.99341148951476,314.9814132518631
315,2022-09-01,-6.073183103899887e-06,-292.4026473940199,266.72400924015517
316,2022-09-02,1.7854986542221215e-05,-270.0169899541776,274.6724642846369
