,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,2012.2683503005203,1900.0870816032761,2132.132864838238
306,2022-08-23,2037.599028867416,1923.243848176651,2160.777817463275
307,2022-08-24,2072.0222517863267,1953.3465803189454,2189.810053310865
308,2022-08-25,2127.2524033227423,2008.2943779370487,2244.3194385147854
309,2022-08-26,2136.604265600019,2018.9355663391505,2256.940274195645
312,2022-08-29,2294.445130647145,2175.1574425428,2406.2991333181553
313,2022-08-30,2339.55787911943,2215.8131672832146,2458.33094838797
314,2022-08-31,2391.6393789288195,2281.0866605060933,2507.947584341044
315,2022-09-01,2462.1975331425506,2346.686509290285,2572.128438779769
316,2022-09-02,2483.433716822763,2372.0421530901044,2603.2794895584066
