,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,13080.144798489711,12138.29503509744,13951.687903448941
306,2022-08-23,13237.747540768749,12356.508539760589,14136.205363864452
307,2022-08-24,13346.548337446482,12510.672944530697,14267.582284233069
308,2022-08-25,13708.044093666078,12785.733449648658,14574.970443930493
309,2022-08-26,13743.478826453784,12801.941110441616,14674.35015378514
312,2022-08-29,14217.329304516452,13313.020469716083,15062.638912016784
313,2022-08-30,14389.813368888144,13529.417521667245,15329.903804658437
314,2022-08-31,14500.63142317552,13593.220384593153,15413.79848827228
315,2022-09-01,14858.548934276494,13953.73759633845,15781.527439326355
316,2022-09-02,14867.817525335191,13909.435067567949,15775.172149028958
