,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,12516.289812800911,11701.408243034713,13436.340848098273
306,2022-08-23,12672.8760356117,11801.322186773301,13538.015081454325
307,2022-08-24,12888.837856704537,12014.576589366783,13778.694086087175
308,2022-08-25,13179.027034523648,12270.829519546613,14077.390183106329
309,2022-08-26,13456.548514454815,12542.224738609164,14353.85344598592
312,2022-08-29,14080.81908974467,13192.732588823175,14922.267321062958
313,2022-08-30,14248.070151340435,13441.620918527713,15143.767635302398
314,2022-08-31,14467.139678942018,13637.36200643373,15315.214480503926
315,2022-09-01,14753.413134989201,13912.625993097292,15627.135712429383
316,2022-09-02,15017.876577051711,14180.51532510969,15899.422421402176
