,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,9833.779806327602,9805.474854355934,9863.13903173968
306,2022-08-23,9843.960261235807,9815.855224710682,9871.872374600422
307,2022-08-24,9847.670680824065,9814.73869162717,9878.08732817448
308,2022-08-25,9854.429256280107,9821.50483369645,9885.784560909662
309,2022-08-26,9858.599358579884,9821.458179655021,9892.980296509615
312,2022-08-29,9864.642679216176,9821.14935086275,9909.75052331673
313,2022-08-30,9872.56132677035,9820.648606448154,9925.883745796256
314,2022-08-31,9873.597999264693,9813.605341992667,9925.899998537287
315,2022-09-01,9877.390596799607,9816.41285396961,9938.656828024901
316,2022-09-02,9878.380273601157,9807.67503134757,9937.560065201775
