,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,46686.36149200526,37294.704818286795,55538.99415706985
306,2022-08-23,46217.97457309832,37059.974419682294,54781.26525852914
307,2022-08-24,44085.5174916707,34393.678814169776,53385.31077736307
308,2022-08-25,43422.88403794201,34111.628800593586,52162.235022059365
309,2022-08-26,41863.66219449999,33273.50379615605,50964.88394440103
312,2022-08-29,35700.44335784946,26495.437353153276,44731.5024977572
313,2022-08-30,35686.64773743443,26621.018753667002,44302.52871043941
314,2022-08-31,34167.619169289545,24966.233769103266,43108.52114789768
315,2022-09-01,34162.043306468106,24206.789007136977,42905.69335929343
316,2022-09-02,33355.84151194002,23792.124019620245,42103.00384777048
