,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,31255.209373895173,25325.701326942326,37012.721569220244
306,2022-08-23,30846.23449870864,24625.835052513816,36502.90299002522
307,2022-08-24,29407.839415186907,23139.02504926238,35434.090697553365
308,2022-08-25,28882.359223361655,22837.332230947333,34873.60779373222
309,2022-08-26,27846.4586808588,22290.504056918526,33824.10032701523
312,2022-08-29,23868.65749110382,18076.8963584451,29793.575834060917
313,2022-08-30,23781.781245290822,17635.396257425913,29772.27812646346
314,2022-08-31,22765.772664216816,17060.050523907754,28713.090350210958
315,2022-09-01,22688.261882291892,16798.85874486182,28907.981094651805
316,2022-09-02,22157.093606210226,15570.221995298263,28317.31953215276
