,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,9374.745940111578,7874.4244973243885,10847.652825573812
306,2022-08-23,9225.082339580635,7775.817393621216,10677.829058294112
307,2022-08-24,9442.472778341094,7971.090149425471,10821.818168561926
308,2022-08-25,9247.088767541336,7909.780369555546,10655.433564139608
309,2022-08-26,9515.618928060565,8124.440388408015,10934.483255509818
312,2022-08-29,9723.247231000072,8261.569363120117,11131.748626591387
313,2022-08-30,9853.950621616445,8484.167365765425,11348.618990917423
314,2022-08-31,10351.757650562882,8826.331416580755,11704.349631258721
315,2022-09-01,10406.047629633626,9079.872671493402,11882.867585102222
316,2022-09-02,10911.746565031104,9537.64318320409,12295.13041600797
