,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,5526.451625828725,5252.78948489051,5806.345074610259
306,2022-08-23,5517.792928793914,5235.103304078589,5808.718641281025
307,2022-08-24,5517.80577538056,5237.365661497612,5800.301624727126
308,2022-08-25,5624.166213999724,5334.061153391159,5898.673123964468
309,2022-08-26,5542.514087697288,5262.1624999106225,5825.518432869021
312,2022-08-29,5480.347100178549,5194.631051495281,5744.399994671677
313,2022-08-30,5453.018596611166,5173.40446615831,5735.6606150673115
314,2022-08-31,5438.784896943275,5146.5755987287175,5713.558311147172
315,2022-09-01,5536.854275937913,5254.799028918384,5822.308930785699
316,2022-09-02,5450.072081704854,5189.60825042043,5743.166691605984
