,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,3485.5036978273156,1523.286183514827,5269.205716706739
306,2022-08-23,3908.406809475062,2172.6600536361957,5576.023976376627
307,2022-08-24,4462.7008774717915,2545.1643647255805,6155.950365780468
308,2022-08-25,4783.723969727418,2943.0581773469535,6488.928736934255
309,2022-08-26,5305.663875869337,3596.3947348859756,7026.8969072669115
312,2022-08-29,5790.393182855799,3976.9882477704455,7546.742624831736
313,2022-08-30,5940.800082065298,4162.681214943811,7741.2431611685515
314,2022-08-31,6201.074455840501,4188.524822369136,7942.087120769267
315,2022-09-01,6227.807748002636,4578.0842225232245,8026.092531115969
316,2022-09-02,6444.614256491155,4646.904541679421,8347.714680936768
