,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,511.0788035220161,501.4464568637721,520.8588433584484
306,2022-08-23,510.69918445655134,500.7183735520324,520.1800633671455
307,2022-08-24,512.6465967378458,502.650710907938,523.2473083578072
308,2022-08-25,513.5748359691445,503.76022369263023,523.1865758589978
309,2022-08-26,513.6835190466542,504.21827616236925,523.849048863925
312,2022-08-29,515.4120656015738,504.74557305040094,525.3697271986076
313,2022-08-30,516.4134420042373,506.16853510857663,526.998823834642
314,2022-08-31,519.8663886673207,509.18677360775695,529.724812728111
315,2022-09-01,522.4007628345208,512.6240088938517,532.844449038791
316,2022-09-02,524.1917627175036,514.6671851546957,533.9885844394612
