,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,1964.7623835379384,1960.3865564046453,1969.3985567212167
306,2022-08-23,1964.519895201043,1960.0897521044926,1968.9899429387233
307,2022-08-24,1965.2140448370772,1960.0422651375236,1969.9311971138027
308,2022-08-25,1966.80120079162,1961.8513684881484,1972.340312404096
309,2022-08-26,1967.2900167838861,1961.4834253905583,1972.993307422175
312,2022-08-29,1969.9145804495208,1961.2378207969368,1977.166993035222
313,2022-08-30,1969.9990005697061,1959.5250855440029,1978.7823573532742
314,2022-08-31,1970.989534499573,1959.0558982053803,1981.6579711040974
315,2022-09-01,1972.8359047980612,1958.1970408336276,1984.6909723065046
316,2022-09-02,1973.5441786852978,1957.4647231100973,1986.6574295432265
