,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,29375.768112077858,28095.087918588586,30642.763461367125
306,2022-08-23,28927.328166036314,27637.863985562486,30364.701586880274
307,2022-08-24,28124.12158170888,26792.324100622296,29443.768237082415
308,2022-08-25,27583.866692519874,26258.05633916503,28827.235466740967
309,2022-08-26,27020.86087533187,25738.321008312887,28299.248388797925
312,2022-08-29,25613.50852066394,24343.413754224355,27090.002642836324
313,2022-08-30,25475.235563502218,24178.028780619927,26844.99036973474
314,2022-08-31,25034.288027307695,23626.474197406253,26354.698607917002
315,2022-09-01,24904.354418856372,23501.926553041558,26327.822772444964
316,2022-09-02,24791.333262691416,23473.63615090347,26212.974928751602
