,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,-126.21415219298237,-223.48105425863974,-31.436217235175153
306,2022-08-23,-130.05506565944683,-231.38790248410123,-36.12753088555251
307,2022-08-24,-133.44423658531142,-231.43658266927463,-33.49627320674815
308,2022-08-25,-136.0269660753555,-237.6537863587711,-34.49699086848816
309,2022-08-26,-137.54250555382302,-235.6801054989953,-44.92071671922775
312,2022-08-29,-146.857313272038,-247.96284069761313,-54.33153720524722
313,2022-08-30,-150.75840481515715,-249.40616412683465,-56.991548073348106
314,2022-08-31,-154.26907201777297,-253.5906075917464,-53.76093604356996
315,2022-09-01,-156.98960406169664,-255.64174430220868,-57.21929895609346
316,2022-09-02,-158.62863322617338,-262.68651970536774,-62.30565304005015
