,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,6623.526448263899,6611.158855198617,6634.869103848054
306,2022-08-23,6621.817919347909,6609.372939300602,6634.222618656492
307,2022-08-24,6620.32719509929,6608.3246611762615,6633.263277569498
308,2022-08-25,6620.050814454066,6607.017046551715,6633.905860996798
309,2022-08-26,6618.31025557624,6603.7082222155195,6633.259777595718
312,2022-08-29,6622.486646098529,6604.604643982416,6640.471481061844
313,2022-08-30,6621.440286869959,6601.574047035655,6640.713766042546
314,2022-08-31,6620.661624378786,6599.137465921298,6640.114036185913
315,2022-09-01,6621.13369834429,6597.734607203139,6643.193480920749
316,2022-09-02,6620.176935122863,6595.938249877618,6648.1182659502965
