,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,793.9147480905152,750.520022971689,837.1421616607994
306,2022-08-23,788.2265931499926,741.8612117958835,831.6610317965534
307,2022-08-24,782.0618116746966,736.2694682129846,828.5127172778833
308,2022-08-25,778.6261411414123,733.0574882369497,823.0377062760723
309,2022-08-26,777.8170560885512,732.32765120242,821.7973087116525
312,2022-08-29,775.6529229445529,728.8374185640795,821.782186274347
313,2022-08-30,773.3689930075185,731.8043758346648,816.5953742629079
314,2022-08-31,770.2104209411208,724.5159784825454,815.6856251363804
315,2022-09-01,769.3224505930351,728.5924866868257,814.2022911952972
316,2022-09-02,770.5666503943206,721.8071883370067,814.3151877377855
