,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,1628.724888364572,1547.669609266426,1702.0635859647834
306,2022-08-23,1640.0652968264749,1555.9648541155648,1722.3900264303063
307,2022-08-24,1651.9856086337945,1571.9319674512017,1726.065835739223
308,2022-08-25,1677.8185348651316,1600.242111988643,1758.0587354578818
309,2022-08-26,1699.3634839005745,1625.115285946681,1786.8107135401165
312,2022-08-29,1797.7934472649995,1713.2471340211198,1881.1859946379368
313,2022-08-30,1840.2207172346382,1760.4433775427713,1929.097914183772
314,2022-08-31,1882.392970590121,1795.7913718334328,1970.6943590005296
315,2022-09-01,1937.0525979250683,1848.7873583483638,2034.6399415263572
316,2022-09-02,1985.1511295333319,1895.9046304145763,2078.5821983174856
