,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,35307.19547381959,32399.66464203575,37903.1208901261
306,2022-08-23,35158.6588726506,32281.747170850675,38232.203142190054
307,2022-08-24,35138.05594642391,32311.69756991488,38085.60592263445
308,2022-08-25,35139.98335611462,32191.996903191208,38100.10279168048
309,2022-08-26,34016.49790956561,31463.23532004937,36901.250684480656
312,2022-08-29,32208.084496984677,29415.191217605137,34955.30171307278
313,2022-08-30,31402.851656884246,28652.17727330037,34443.77381696722
314,2022-08-31,30784.628974895975,28107.817768918532,33741.16548274759
315,2022-09-01,30258.332227621984,27259.463701898847,33064.29549410158
316,2022-09-02,28673.505374805325,25748.854231516452,31453.63154246097
