,ds,yhat,yhat_lower,yhat_upper
305,2022-08-22,4626.513961667094,4601.880533929087,4653.940808303829
306,2022-08-23,4615.950240788373,4587.649045951116,4644.123649417073
307,2022-08-24,4598.417368082978,4568.9132276809105,4629.6532313858515
308,2022-08-25,4587.316890471331,4557.075224900271,4619.1093923870085
309,2022-08-26,4575.645567655525,4541.3610534393665,4609.817880045353
312,2022-08-29,4545.0727888516085,4503.138596448871,4588.967409502513
313,2022-08-30,4531.486150044044,4487.114385580843,4580.439231654762
314,2022-08-31,4511.669342551533,4458.380245802345,4562.929191925242
315,2022-09-01,4498.931947298135,4443.279466208615,4561.270225748291
316,2022-09-02,4486.308929575295,4417.7493952293025,4557.34137633574
