,ds,yhat,yhat_lower,yhat_upper
304,2022-08-23,7302.573978588252,7136.409157266605,7466.611529548837
305,2022-08-24,7306.36196970948,7124.309824566128,7475.79540708152
306,2022-08-25,7324.169371515152,7162.011699183705,7489.725772524761
307,2022-08-26,7347.936064129279,7167.742726344261,7522.485362269995
310,2022-08-29,7417.954940939058,7229.609779529245,7604.984624272115
311,2022-08-30,7532.68401504229,7349.541553167298,7708.169769931736
312,2022-08-31,7618.4100564914015,7430.937361424131,7812.659256463563
313,2022-09-01,7715.6340397955955,7508.436779044057,7901.505012097488
314,2022-09-02,7814.893376777879,7615.753675151533,8015.962594849457
317,2022-09-05,8076.813455847564,7835.326529396515,8316.440347646168
