,ds,yhat,yhat_lower,yhat_upper
304,2022-08-23,2038.4760018136676,1909.741209949905,2164.2978179782035
305,2022-08-24,2043.1419272697074,1914.068559353924,2170.8417694514796
306,2022-08-25,2042.2440226657388,1927.4108778846414,2164.578007397116
307,2022-08-26,2015.9298324464437,1900.2977591302617,2143.7426712575593
310,2022-08-29,2058.0158039211774,1928.5144614027545,2178.9039102024813
311,2022-08-30,2059.730128877155,1930.4152717866777,2187.8531494577787
312,2022-08-31,2064.222092168958,1945.424106708325,2185.0371218525047
313,2022-09-01,2063.134558786059,1937.8407511094865,2185.9752297441078
314,2022-09-02,2036.4841107077757,1905.4649199809376,2160.005637405729
317,2022-09-05,2078.8618251473285,1957.9553995463796,2207.681341725419
