,ds,yhat,yhat_lower,yhat_upper
304,2022-08-23,1421.8325779676486,1342.862114493935,1502.8805159199287
305,2022-08-24,1423.7017700566466,1347.656735074295,1500.5494850130185
306,2022-08-25,1448.423007061344,1371.378039896914,1523.2727815416458
307,2022-08-26,1438.021298997564,1359.1074156997506,1518.1982703574981
310,2022-08-29,1439.9008174892506,1364.03063574362,1515.4795046057295
311,2022-08-30,1447.2157967217038,1369.9808455751433,1523.3198324834268
312,2022-08-31,1451.374924684034,1375.3264836348185,1531.9743532525956
313,2022-09-01,1479.034864474043,1400.4777240767544,1554.9441073478586
314,2022-09-02,1471.1933762191636,1389.2208808429011,1548.6038479308754
317,2022-09-05,1482.3083382408893,1401.7231353115062,1558.8149661768196
