,ds,yhat,yhat_lower,yhat_upper
304,2022-08-23,-60.423618032489074,-254.51900750733301,128.03438316228113
305,2022-08-24,-60.96661350720888,-244.8776163333707,127.97096434548538
306,2022-08-25,-62.738636252821074,-252.7902711706443,122.7441020711611
307,2022-08-26,-68.70376556516463,-259.13070027079834,115.896272785595
310,2022-08-29,-78.20043882120116,-277.0363700549649,122.77925998178638
311,2022-08-30,-82.80946198692111,-287.8607966122264,105.42900684799889
312,2022-08-31,-87.883005183739,-277.96495478314347,109.3824856579048
313,2022-09-01,-94.32004533595679,-276.8320791139246,105.48637568645242
314,2022-09-02,-105.49290559788422,-313.0902807020279,122.88389870759445
317,2022-09-05,-125.50563053569057,-334.9557324665327,106.95963095978838
