,ds,yhat,yhat_lower,yhat_upper
304,2022-08-23,-63.65762833310435,-245.2240547389015,108.01586357735987
305,2022-08-24,-65.11801867111227,-225.4616138537455,114.06407231008663
306,2022-08-25,-67.39627636020232,-249.66780417368707,101.12991688266123
307,2022-08-26,-73.39736209661528,-242.32086691732675,97.63023457745774
310,2022-08-29,-86.02398142903861,-275.27087853457067,69.552789356995
311,2022-08-30,-91.29886606180906,-260.68348559591107,89.16184935197207
312,2022-08-31,-97.62797022640454,-267.8055486733807,83.54989103466144
313,2022-09-01,-104.68536997922631,-289.6281337682414,90.054060014157
314,2022-09-02,-115.77452543746148,-294.90061899001,60.612659378224336
317,2022-09-05,-138.26690083652767,-338.35165730753636,64.4066315717142
