,ds,yhat,yhat_lower,yhat_upper
304,2022-08-23,5166.4851947064,4878.934374411095,5436.670531271638
305,2022-08-24,5168.114229615523,4880.669434675088,5448.038587948485
306,2022-08-25,5245.432982932802,4960.850557940874,5528.0117385592175
307,2022-08-26,5116.433770798937,4807.670396797863,5387.586692530146
310,2022-08-29,5124.4322078733685,4841.673428671511,5410.468268991231
311,2022-08-30,5169.329606291504,4887.449816417538,5440.914432750311
312,2022-08-31,5170.05212625206,4885.943637789414,5440.3688174925155
313,2022-09-01,5251.198721709914,4972.319097161634,5530.166904429878
314,2022-09-02,5129.408892157931,4834.132410171032,5394.96069817049
317,2022-09-05,5184.2488843563215,4905.981408521113,5463.971141016865
