,ds,yhat,yhat_lower,yhat_upper
304,2022-08-23,3787.2540930712985,3394.870427094731,4172.5661923458
305,2022-08-24,3962.095935627105,3561.378434910923,4349.460784779178
306,2022-08-25,4104.323494826149,3710.570815504665,4494.85311589554
307,2022-08-26,4212.621785876622,3817.747274074544,4608.368800515914
310,2022-08-29,4574.244129779067,4176.079742073336,4957.8135233153125
311,2022-08-30,4564.161021206005,4167.825107174109,4952.940568151718
312,2022-08-31,4736.036186169981,4339.380683388924,5112.962021161849
313,2022-09-01,4877.795222346661,4499.650548676188,5255.172201582753
314,2022-09-02,4987.988230570932,4592.18242565356,5385.041462021688
317,2022-09-05,5377.438171230065,4971.7440834333875,5801.18612701846
