,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,1448.2719123841605,1445.864203287277,1450.540788204407
307,2022-08-25,1447.8761160199067,1445.3674665692822,1450.394897529227
308,2022-08-26,1447.8431543675624,1445.3981792207937,1450.2133806289537
311,2022-08-29,1445.4339070789001,1442.4199063946955,1448.4803685259724
312,2022-08-30,1444.3308387428683,1440.817963151989,1447.7907041371673
313,2022-08-31,1443.141903327121,1439.8364896938342,1446.7853973502763
314,2022-09-01,1442.1024525553019,1438.0014637545353,1446.2518042284387
315,2022-09-02,1441.3462844121982,1437.1526278493054,1446.550725756964
318,2022-09-05,1436.2871306095808,1430.268844037098,1444.0729093297002
319,2022-09-06,1434.1425930483995,1426.7839796349833,1443.6510943286983
