,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,4161.204539506609,4137.244005407887,4186.898277101473
307,2022-08-25,4165.251988348005,4141.441720949279,4190.209825890895
308,2022-08-26,4168.32030479058,4145.5022026997185,4191.690286778512
311,2022-08-29,4179.163306287936,4152.668110583225,4204.944246369975
312,2022-08-30,4186.514411344754,4159.420733820108,4213.284049182552
313,2022-08-31,4191.413333936976,4161.4881455302175,4216.482697728324
314,2022-09-01,4196.516136581709,4167.420934571379,4225.211924309925
315,2022-09-02,4200.138014385561,4169.972395948768,4228.300110240864
318,2022-09-05,4209.9191724624,4173.822210795984,4243.260551797074
319,2022-09-06,4216.15770916015,4180.491685198869,4252.965833660448
