,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,6136.426963656287,5893.702649599318,6365.278377601605
307,2022-08-25,6128.188774102614,5896.506756061992,6385.329597481497
308,2022-08-26,6133.267076207116,5883.456975905844,6400.072188404285
311,2022-08-29,6120.6615541082865,5868.727384340595,6380.203620334271
312,2022-08-30,6110.319841137484,5863.6603786132955,6371.850257521515
313,2022-08-31,6107.592846335761,5839.383989616011,6382.507150395535
314,2022-09-01,6133.763233247723,5839.085166424418,6407.26767540653
315,2022-09-02,6172.049968101023,5867.405374870682,6475.406219617579
318,2022-09-05,6241.957588247105,5892.266044370323,6590.923800594726
319,2022-09-06,6250.640607843152,5919.4491299198235,6604.26012905124
