,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,-129.73303047374864,-347.0991285537871,89.07920538649026
307,2022-08-25,-132.57011278258804,-338.00967409390216,83.51718798561768
308,2022-08-26,-134.73655996684744,-353.0238770362582,70.14304795184238
311,2022-08-29,-144.32508339571214,-358.46443528687433,75.2893582441981
312,2022-08-30,-147.62180374456614,-359.47373472301217,75.02355034580764
313,2022-08-31,-151.07517581576107,-366.2455156525732,54.443311765817704
314,2022-09-01,-153.97926520068256,-367.70819318826557,70.31955004025717
315,2022-09-02,-156.21147361033817,-394.51396047498594,50.97482065737776
318,2022-09-05,-167.04337500166275,-383.84358918940717,51.560778899397654
319,2022-09-06,-170.9434567301182,-378.2782778319659,41.4653081580081
