,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,625.4759106136117,609.4455933468145,641.9739687746417
307,2022-08-25,632.1626067183555,615.8724587481673,648.5645142864196
308,2022-08-26,629.8271546220142,611.5069638211962,647.0943450573966
311,2022-08-29,657.3087859343569,639.9606811103972,673.4233752159206
312,2022-08-30,664.6127446819291,646.5451928089448,681.222043564372
313,2022-08-31,672.3486858459148,654.4449578689398,689.5097006388627
314,2022-09-01,682.0442959972306,665.5647416177021,699.0237112222676
315,2022-09-02,682.318370056157,665.8172649530073,699.6142708977892
318,2022-09-05,715.3456407722286,698.6691201104637,732.6425083529222
319,2022-09-06,723.5146887016396,707.656092434165,740.3628216554921
