,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,0.025652157947241613,-310.74883445533834,299.97994014056235
307,2022-08-25,0.3294197097021446,-288.6824865345366,302.97278860871444
308,2022-08-26,0.32373214985288945,-308.28155435418773,283.92777696131117
311,2022-08-29,0.0187107876893111,-302.3305961804382,307.0090902809257
312,2022-08-30,0.059128959911417284,-303.7131125674686,294.8198296726021
313,2022-08-31,0.0473380285174587,-296.9416187974291,295.92440265836547
314,2022-09-01,0.3227920525242087,-344.18304410635653,347.93481778823514
315,2022-09-02,0.3134703469859751,-366.7475880927478,392.1862662635036
318,2022-09-05,0.017490780877973497,-296.32494460350813,302.20505363215216
319,2022-09-06,0.04695086157193165,-280.417018837956,308.4631162021264
