,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,7752.239973461896,7635.827753440776,7879.378439216673
307,2022-08-25,7767.559531506447,7649.07828373149,7890.3414019837555
308,2022-08-26,7780.948876688646,7655.9555077564355,7903.582440234649
311,2022-08-29,7821.289262790818,7675.183722870792,7972.558029787054
312,2022-08-30,7836.024978002243,7688.433654787667,7985.906808311614
313,2022-08-31,7838.937777991797,7689.562668010604,7993.437452483542
314,2022-09-01,7854.733630495151,7676.061191089598,8031.163211297909
315,2022-09-02,7869.8034378890325,7681.096585610597,8060.0326804480965
318,2022-09-05,7918.700286895684,7633.801121651651,8192.949433987207
319,2022-09-06,7936.1919543225395,7633.205557784018,8240.829241824242
