,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,2137.5871537667585,1988.045562170743,2271.5684838017933
307,2022-08-25,2151.552875156264,2020.6381634462884,2296.0498115365276
308,2022-08-26,2150.8394036158015,2018.0168534810282,2290.2806077720425
311,2022-08-29,2211.6860764444837,2068.416965163554,2354.947169375042
312,2022-08-30,2228.1024716671204,2082.0028699163254,2363.520275916037
313,2022-08-31,2239.852611220998,2102.1971292135136,2386.6999630182154
314,2022-09-01,2273.776401712131,2132.2099637491497,2411.3117494105923
315,2022-09-02,2294.366009922237,2151.0417624872052,2434.8241166341213
318,2022-09-05,2427.1207146725073,2280.105391873925,2579.7731690765213
319,2022-09-06,2467.0392598521807,2313.389027933996,2611.4681640306057
