,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,10285.05312975204,9457.36755353637,11036.655924100682
307,2022-08-25,10405.684591700523,9697.633295893305,11199.868776812405
308,2022-08-26,10515.253036643311,9715.206348032867,11313.089720116166
311,2022-08-29,10639.266969078542,9857.094411306382,11436.099377467363
312,2022-08-30,10720.878742385941,9983.332842991667,11539.219426603024
313,2022-08-31,10754.217520579066,9921.24109255115,11458.877731097544
314,2022-09-01,10915.614298435237,10151.843195429954,11739.748759037519
315,2022-09-02,11064.054984843644,10347.536080637172,11866.447522578133
318,2022-09-05,11283.524407662817,10511.33634938098,12063.588092950966
319,2022-09-06,11387.801785463018,10597.520431176827,12156.352951906005
