,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,2796.862034464381,2590.9698863440153,2991.5270954838547
307,2022-08-25,2817.217818282533,2608.709113408333,3025.431542448964
308,2022-08-26,2745.126036834265,2548.1089126973316,2937.884473945508
311,2022-08-29,2899.812066455227,2685.856534417334,3094.147894564147
312,2022-08-30,2918.4034100871486,2712.4788630520743,3132.0517839195886
313,2022-08-31,2943.3639382204237,2739.9919581451754,3142.0989952177815
314,2022-09-01,2961.8125198255657,2739.923562678894,3168.0379915172825
315,2022-09-02,2885.1179364201353,2665.515250639786,3086.0044063115847
318,2022-09-05,3022.2611556082707,2812.6975369333077,3214.895782328084
319,2022-09-06,3032.457919643878,2822.991040819122,3241.440220945298
