,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,1861.1073776395092,1824.5010883675309,1895.638102583948
307,2022-08-25,1897.053355025442,1859.8014249509945,1936.4143069355941
308,2022-08-26,1933.7970270836872,1897.4986176313978,1972.1936393182764
311,2022-08-29,2043.6628713655982,2006.6796163754482,2081.8644931559875
312,2022-08-30,2082.630562816229,2041.4208474912862,2121.5238879686335
313,2022-08-31,2125.2225259330808,2087.819038761241,2162.5575687073742
314,2022-09-01,2165.742779316106,2125.538318241089,2207.1454966704596
315,2022-09-02,2205.8135265991336,2167.3785696229497,2243.1980710689263
318,2022-09-05,2316.5800622191946,2277.2693772008847,2358.2821339620195
319,2022-09-06,2352.381820768259,2310.408677953399,2390.8755903869915
