,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,989.2845645545201,883.3005435137233,1094.4466005331028
307,2022-08-25,1055.4440735843098,947.9408996440764,1163.238419004068
308,2022-08-26,1065.8534092207476,960.789017339214,1176.0608853446513
311,2022-08-29,1149.0962426090769,1038.3252083472512,1256.7557171669578
312,2022-08-30,1190.352584497547,1078.3517930520402,1298.8250585726826
313,2022-08-31,1218.2209831347247,1105.3314390612961,1324.2586309559347
314,2022-09-01,1273.8793988657308,1164.8254135827517,1380.8306501743157
315,2022-09-02,1268.8586497229996,1149.7333210200081,1379.403358174934
318,2022-09-05,1287.1944242146194,1180.2759420750324,1400.8917039289001
319,2022-09-06,1301.6965783645794,1188.9034593181864,1402.4117621974224
