,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,25228.014922017093,22091.45705589885,28354.53047329261
307,2022-08-25,25256.648986054366,21957.79882105941,28520.911063952597
308,2022-08-26,25628.303082218452,22613.638268274026,28876.10297297214
311,2022-08-29,26128.85038448882,23093.269018520543,29259.492062906647
312,2022-08-30,27828.276077456114,24744.115462322683,31042.11236141186
313,2022-08-31,28071.412765886686,24976.227653809194,31466.822956973145
314,2022-09-01,27281.23368138757,24035.471195809107,30423.176580211108
315,2022-09-02,26729.44625653763,23381.348453236944,30144.55381677359
318,2022-09-05,23796.883869394533,20479.300441622465,27035.52816726588
319,2022-09-06,24324.79987754048,21116.135403990265,27632.63888105102
