,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,-562.7403918277732,-2009.647247785817,958.6676948926007
307,2022-08-25,-450.8693881442621,-1908.8194194611915,920.9179584804984
308,2022-08-26,-471.59100187221554,-2032.0569962279958,903.5820774630946
311,2022-08-29,-445.05515069640336,-1938.8542216692008,1125.624960436049
312,2022-08-30,-150.87172623280733,-1812.6632605012448,1328.1947578212985
313,2022-08-31,-112.63394628259714,-1610.0257089207373,1314.6072289202195
314,2022-09-01,103.43986864326936,-1425.4823708915471,1583.8798288948212
315,2022-09-02,173.4186238147279,-1238.0730869701272,1708.8283727417504
318,2022-09-05,363.0841408728589,-1178.3360792888773,1915.583908174196
319,2022-09-06,668.0552106911475,-919.4939579980324,2091.290976557488
