,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,1443.5703263945684,1329.7020965945849,1548.7752001353206
307,2022-08-25,1446.528234394167,1339.8126409764468,1561.811069461382
308,2022-08-26,1440.2540678114005,1335.2504251329535,1556.9696682158203
311,2022-08-29,1459.2450811849235,1347.6203311618583,1580.2648377083378
312,2022-08-30,1468.2975593989229,1361.0709022758892,1584.5833084601372
313,2022-08-31,1476.7335805157852,1364.1214722556201,1593.023110580525
314,2022-09-01,1495.3655179045209,1385.6509773762039,1604.4672815476831
315,2022-09-02,1504.8122192997494,1392.3354224903212,1607.6368671632758
318,2022-09-05,1568.9205698833366,1448.299440030832,1680.2689637874828
319,2022-09-06,1591.4082549849018,1483.8008075696976,1706.996568151344
