,ds,yhat,yhat_lower,yhat_upper
306,2022-08-24,3337.404761026875,3212.3721796250506,3466.4769343415132
307,2022-08-25,3377.9513721431845,3263.977350105644,3503.7479288753584
308,2022-08-26,3402.572521030605,3277.0674768862327,3510.4397319526347
311,2022-08-29,3496.7254997363775,3376.8516780356495,3619.509562514248
312,2022-08-30,3545.588921445137,3421.9204473114282,3672.7065435591157
313,2022-08-31,3573.047249048144,3446.289301538068,3686.544932968334
314,2022-09-01,3616.9581133781116,3502.306302033065,3737.9968831330357
315,2022-09-02,3643.391737092823,3520.4547521391323,3760.4514508988505
318,2022-09-05,3731.769154312122,3617.186455174382,3863.8933976451785
319,2022-09-06,3774.2440235878794,3656.05815245927,3897.3322061690174
