,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,302.434134459168,301.2186847640683,303.5044589096147
311,2022-08-29,302.10007824963174,301.02772762625597,303.2008126325637
312,2022-08-30,301.84435517823863,300.6955002457579,303.019809081415
313,2022-08-31,302.0407574587795,300.85050452129855,303.21829110502364
314,2022-09-01,301.8063977908744,300.5169962457114,303.03324436879734
315,2022-09-02,302.01714925493957,300.7980957814743,303.2746260520299
318,2022-09-05,301.9914909430819,300.8131920073359,303.1206527381731
319,2022-09-06,301.8489676928062,300.54573317027257,303.1487795426782
320,2022-09-07,302.1647685815487,300.9538624462027,303.44054536623594
321,2022-09-08,302.0538586760213,300.76504258096855,303.29413365560384
