,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,1125.837755251114,1098.071708610226,1155.7927633813883
311,2022-08-29,1181.413013909523,1150.4653403087127,1208.7450278093677
312,2022-08-30,1197.6533670431063,1166.8832629105523,1227.8566434791896
313,2022-08-31,1215.1265466616633,1183.746823529396,1247.814882124695
314,2022-09-01,1236.4753949299727,1202.8511797244723,1269.9895380976488
315,2022-09-02,1255.0623929247224,1220.866777107858,1289.2984924966936
318,2022-09-05,1301.5361644819375,1263.9297008423657,1337.6197395663326
319,2022-09-06,1311.7112251700405,1268.9015759606953,1349.7079252738527
320,2022-09-07,1321.6584082163984,1278.8860696648687,1364.6320732090226
321,2022-09-08,1334.102306690609,1282.7248281075047,1381.7576432260084
