,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,11647.947063972153,11034.095612046494,12235.681677034589
311,2022-08-29,11223.013438209815,10629.940744679334,11802.412470116822
312,2022-08-30,11023.204346670842,10390.4681471574,11643.191077439446
313,2022-08-31,10858.77408397716,10265.887461013921,11486.802003098139
314,2022-09-01,10755.842896296588,10128.303020858824,11399.772316031522
315,2022-09-02,10577.860100337066,9981.695988676895,11210.219440114985
318,2022-09-05,10185.951002909704,9544.910871037768,10797.777962138016
319,2022-09-06,10017.480326258948,9442.626984779172,10631.17663107898
320,2022-09-07,9892.736030219285,9255.000689464347,10513.741742080609
321,2022-09-08,9836.50479256905,9210.11884676959,10439.247763836962
