,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,13388.213115484557,12627.828151582835,14128.73274988337
311,2022-08-29,13719.515600884908,12921.974183433378,14488.492722635683
312,2022-08-30,13679.294137445839,12878.30809809086,14411.533010012514
313,2022-08-31,13776.733678438088,13019.353578937329,14510.190124442575
314,2022-09-01,13929.420006277735,13210.624048857371,14715.893842075959
315,2022-09-02,14047.559127047849,13336.418980744163,14810.99560414708
318,2022-09-05,14053.422022891025,13301.767362003713,14826.222237301217
319,2022-09-06,13909.465642793737,13186.630572024516,14650.870921440504
320,2022-09-07,13910.470632847753,13167.688446484239,14661.260865113807
321,2022-09-08,13972.055465959202,13180.518167840954,14696.168833132833
