,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,8290.377889941543,5776.330431002757,10687.743188207392
311,2022-08-29,8449.918092729326,5996.289064375291,10855.915268289467
312,2022-08-30,8599.940056342135,6048.6717143045435,11153.03839227798
313,2022-08-31,9073.075974633713,6780.894206329512,11497.577231940577
314,2022-09-01,9004.617363597123,6481.820482576884,11476.4373333725
315,2022-09-02,9361.561786471231,6912.47107902083,11973.527493170515
318,2022-09-05,10201.041258682766,7510.745263919789,12658.492301361499
319,2022-09-06,10503.311284643845,7961.56930267202,13250.219889705337
320,2022-09-07,11085.672955135458,8667.919874836072,13566.75336992871
321,2022-09-08,11086.387516792363,8531.333789875162,13712.014847790279
