,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,9880.55913901686,9636.575136838877,10125.326133795354
311,2022-08-29,9884.521464882095,9639.245723042986,10137.267052065325
312,2022-08-30,9887.743031113589,9646.747895895744,10117.46024061396
313,2022-08-31,9887.700019232618,9643.486096201977,10112.618053139166
314,2022-09-01,9856.94686166552,9624.320836444922,10089.534284251142
315,2022-09-02,9811.414807751047,9565.65302507703,10060.486523195696
318,2022-09-05,9893.67289022156,9667.930503046333,10157.83818525401
319,2022-09-06,9926.599806196922,9699.152800191192,10167.15071424494
320,2022-09-07,9956.69291795911,9715.066593405892,10202.015334222702
321,2022-09-08,9955.654286294955,9711.415203195627,10203.824512362286
