,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,6241.907933106107,6194.984291236913,6289.398222537405
311,2022-08-29,6245.392936102139,6199.834395416179,6295.559424662657
312,2022-08-30,6241.668313139842,6185.190855621369,6289.372343975278
313,2022-08-31,6236.322105385815,6180.57119197088,6293.24598881155
314,2022-09-01,6227.824660693411,6168.532385020692,6283.3905422303515
315,2022-09-02,6227.134414797231,6157.514680889679,6286.904939936548
318,2022-09-05,6251.776717659975,6171.94148610273,6324.610164897047
319,2022-09-06,6257.489165530379,6172.476140509709,6349.199678231569
320,2022-09-07,6262.538294430097,6155.620239723311,6361.858229979663
321,2022-09-08,6265.21667215476,6147.731187707154,6378.3382460389485
