,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,2826.349563378143,2781.3836865901735,2871.777053015917
311,2022-08-29,2841.0716828974196,2796.1827540900067,2883.740425260743
312,2022-08-30,2860.4383487502114,2812.403638679807,2905.4317508375566
313,2022-08-31,2868.741883781892,2822.716623617488,2914.4744139000895
314,2022-09-01,2882.778922190127,2836.018250538796,2925.649306212009
315,2022-09-02,2895.861586246551,2851.275412822998,2938.846221616583
318,2022-09-05,2936.293653806984,2886.9078980229856,2982.4630004020373
319,2022-09-06,2966.511101534034,2919.1125371772696,3015.4086140457384
320,2022-09-07,2985.6161748557597,2935.0712462135743,3037.2709056982394
321,2022-09-08,3010.7262998997144,2956.961085653705,3062.3193794754593
