,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,571.1736208926926,541.6103540699218,599.7638503032474
311,2022-08-29,579.8907645178438,549.7296958103562,608.247604827655
312,2022-08-30,581.4057361971257,551.5263151612446,613.1850504419274
313,2022-08-31,585.4752504731614,557.5182234458363,615.3555286551313
314,2022-09-01,584.8850550106182,556.9068095945336,612.3281326825828
315,2022-09-02,583.8786049865661,554.5553215354785,614.2780152603102
318,2022-09-05,594.5251126784984,566.1003990151872,625.6561480360834
319,2022-09-06,596.4256281255881,568.144878364058,625.593084144772
320,2022-09-07,600.7431243421468,570.0104236525333,630.7576552620051
321,2022-09-08,600.2383707184315,570.3154604079272,631.417692573581
