,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,8510.575517963702,7267.938892279218,9816.029221794644
311,2022-08-29,8584.451334889167,7366.888238247363,9816.70040470168
312,2022-08-30,8556.77394815142,7374.128448526974,9802.485877474526
313,2022-08-31,8710.754876170138,7554.347328535622,9891.411444429494
314,2022-09-01,8561.63522829383,7334.071163378487,9741.746125857379
315,2022-09-02,8404.606368731545,7174.061110925838,9605.444554260932
318,2022-09-05,8617.316145601682,7402.41093621017,9745.540498374503
319,2022-09-06,8632.775911670016,7433.021819973108,9844.775984247768
320,2022-09-07,8826.176159340272,7652.208835962215,10073.24837489671
321,2022-09-08,8710.20125246452,7451.7970701899585,9904.089215736281
