,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,7279.513779129821,7242.33884978082,7316.162932308085
311,2022-08-29,7263.762418785599,7228.233338204738,7300.170799562263
312,2022-08-30,7265.203823060991,7225.54655811136,7304.688957951046
313,2022-08-31,7260.186334323241,7220.87470443986,7299.476852696812
314,2022-09-01,7259.501834331329,7215.801320097807,7299.794091521197
315,2022-09-02,7248.857098838601,7209.13892986259,7292.827081139244
318,2022-09-05,7242.40902768126,7195.663943944319,7290.9913689584755
319,2022-09-06,7247.669167659123,7191.72141834828,7298.541742641515
320,2022-09-07,7246.649143648401,7193.338132290643,7298.528778533629
321,2022-09-08,7250.1386252116445,7190.3728063179515,7309.113770468279
