,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,1738.19163423875,1598.4804088083774,1886.223315358856
311,2022-08-29,1927.872562007191,1801.137268972196,2075.795429568904
312,2022-08-30,2007.911256777667,1858.049462282349,2151.40836611662
313,2022-08-31,2069.5958636281766,1932.613241913046,2218.7485631845716
314,2022-09-01,2150.167670722383,2000.3725097539198,2300.7129894227637
315,2022-09-02,2224.8873389483974,2070.591103089414,2367.3992512002023
318,2022-09-05,2459.6771533894134,2316.3501507413907,2599.4204519131076
319,2022-09-06,2544.066279705918,2395.9627978587037,2691.099367938019
320,2022-09-07,2602.8696664483264,2449.225961353946,2756.3921983111704
321,2022-09-08,2673.7413093557648,2538.6213309932696,2839.495940104246
