,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,10724.617095513166,10339.27370340949,11086.491505077076
311,2022-08-29,10827.525031750358,10450.029753693067,11223.192188632622
312,2022-08-30,10871.854126604509,10473.755666005778,11251.519129009856
313,2022-08-31,10912.159597015012,10542.39198498838,11279.306279334156
314,2022-09-01,10925.42150851959,10548.881462728963,11328.313484006654
315,2022-09-02,11044.303399944942,10671.860023498819,11412.05448191565
318,2022-09-05,11209.316477737462,10824.152302146113,11607.627105090203
319,2022-09-06,11272.110935217384,10887.530134494818,11668.395463377054
320,2022-09-07,11329.185991370781,10967.15861473067,11700.623874010369
321,2022-09-08,11357.058582210462,10989.558369486253,11746.411157767458
