,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,29008.096672628886,26703.404510199343,31279.25954065363
311,2022-08-29,26185.413817652265,23809.289984593088,28498.34408212918
312,2022-08-30,25452.589929534737,23078.351822183744,27626.580194398786
313,2022-08-31,24669.887405550675,22515.228851684806,27018.181885576305
314,2022-09-01,24114.52090986264,21848.697829190118,26348.926512967882
315,2022-09-02,23685.197007573614,21405.103001615385,25968.4780334741
318,2022-09-05,23223.708314246513,21064.871644418545,25536.256941560296
319,2022-09-06,23363.56428060647,20964.897805935565,25751.164819973954
320,2022-09-07,23469.67968138253,21153.59390647814,25751.009072994624
321,2022-09-08,23805.10983457854,21466.162664903,25869.349548046004
