,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,46007.60607239878,45488.53414008539,46543.10631543719
311,2022-08-29,45402.486271777016,44872.09086580527,45965.02258220239
312,2022-08-30,45099.33204513221,44549.69910479422,45618.93769028572
313,2022-08-31,44834.79882379631,44266.91949053813,45362.178877682956
314,2022-09-01,44463.47232439019,43890.38956394169,45034.981187986676
315,2022-09-02,44182.49386671819,43608.85052650613,44746.23522135463
318,2022-09-05,43212.845260536444,42564.59018007286,43845.97828419713
319,2022-09-06,42808.64186314651,42146.673649970544,43460.64203238886
320,2022-09-07,42456.89980415283,41833.85408596334,43134.619619842764
321,2022-09-08,42014.87446740725,41334.094270098445,42708.90637383268
