,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,52049.1202602061,51828.979947760745,52264.28362227359
311,2022-08-29,51893.42464551398,51677.982649653284,52138.8750594545
312,2022-08-30,51790.05098233836,51547.90912732867,52031.171787027844
313,2022-08-31,51710.05541841982,51480.30392642198,51940.71086442802
314,2022-09-01,51643.959339206885,51402.31571773474,51905.08948080302
315,2022-09-02,51549.7973756929,51305.40081698936,51835.279856722336
318,2022-09-05,51369.89626711197,51099.95986358853,51659.572492736515
319,2022-09-06,51257.28955013366,50966.605068822246,51562.69068494301
320,2022-09-07,51167.43565404791,50872.197463798,51484.12712136374
321,2022-09-08,51091.34733388607,50754.600338247685,51419.11755823665
