,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,3129.747136477477,3019.347897521731,3242.2335046782478
311,2022-08-29,3289.1489716303104,3170.560082577186,3399.890873805965
312,2022-08-30,3357.983696777252,3243.1139375942753,3472.914970781001
313,2022-08-31,3407.6734462721042,3291.691946270075,3529.879759712427
314,2022-09-01,3481.232945106177,3374.3844334677956,3603.938204439916
315,2022-09-02,3531.318667759805,3416.825623690522,3660.198188587015
318,2022-09-05,3727.2871739776397,3616.8346636975994,3849.234225884166
319,2022-09-06,3800.5077566862137,3677.431864475592,3910.2086477973808
320,2022-09-07,3849.5696659535524,3737.6495185294298,3964.377398697494
321,2022-09-08,3917.509130865397,3807.1628613623207,4034.5641496372036
