,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,1725.0749692035042,1721.8555799538638,1728.0942570405068
311,2022-08-29,1723.9231160286529,1720.727503249377,1727.4549472184008
312,2022-08-30,1723.4476337631131,1720.0081162744673,1727.0445642346872
313,2022-08-31,1723.1415011010436,1719.6614796437125,1726.7560434170607
314,2022-09-01,1723.5530147643267,1719.2259985507442,1727.4527345347133
315,2022-09-02,1723.4576088489714,1719.2436109186772,1727.5210444695567
318,2022-09-05,1721.916368781103,1716.457930290163,1727.1918626178697
319,2022-09-06,1721.2360082547057,1715.3245573692914,1727.0979427794005
320,2022-09-07,1720.6722431052783,1714.221522029597,1726.648557525619
321,2022-09-08,1720.7635034345628,1713.4484085748925,1727.731682439725
