,ds,yhat,yhat_lower,yhat_upper
308,2022-08-26,23099.792351717282,22341.639522396894,23866.314634095554
311,2022-08-29,22070.087628047382,21341.789012906764,22833.364301776375
312,2022-08-30,21708.493702248412,21002.288402882023,22434.75598523509
313,2022-08-31,21475.51280382892,20655.087211210637,22198.05487739769
314,2022-09-01,21102.369085293987,20335.562596812215,21812.443281030995
315,2022-09-02,20786.799465278513,20000.513741907274,21517.364263847394
318,2022-09-05,19869.83734258152,19127.68014904957,20641.756163776863
319,2022-09-06,19583.47547504865,18799.655565727902,20351.436155100502
320,2022-09-07,19442.41578689886,18715.35491799072,20191.27920441932
321,2022-09-08,19177.68071808663,18408.976742295123,19895.79628797354
