,ds,yhat,yhat_lower,yhat_upper
1326,2022-08-10,1452.5874126559152,1335.4619599615444,1576.1583839049533
1327,2022-08-11,1475.6929496604237,1352.5020140328827,1596.8810732576076
1328,2022-08-12,1504.5037330473494,1380.4141474576272,1617.9833021419524
1329,2022-08-13,1573.3677265367417,1446.49810620462,1693.03464373224
1331,2022-08-15,1565.8297703660676,1448.295384872332,1685.2666549612154
1332,2022-08-16,1567.2124288096638,1442.3180977372294,1685.5436866213076
1333,2022-08-17,1593.24200195011,1475.7478597962695,1713.7805749908232
1334,2022-08-18,1613.606495110147,1500.2217298891496,1730.7811512967212
1335,2022-08-19,1639.6277459129847,1519.2800233507933,1765.9605247790348
1336,2022-08-20,1706.1201330490217,1573.6685373675302,1836.8793495712844
